spec,checkpoint,bytes,sha256
A1,models\A1_seed_909.pt,285373,17b3ddd676bd22f280cd4cabd78691e0bc5f23e7471f3d8a1213a9b18baae24f
A2,models\A2_seed_1001.pt,285407,2c7695539e84006505093b9297b752a92f9cbae237d5f7664cb68c02a12882b6
A2,models\A2_seed_101.pt,285373,2dddbcb3f42d9f978713a6d1b0a7b46d26698fc8ef09c55c352a4d79553c96f1
A2,models\A2_seed_202.pt,285373,11b78b637827a58a930c052fcce2ed352202e94cb5c39322f67a7febfccd440d
A2,models\A2_seed_303.pt,285373,e2b06c9554d062cc64c49d6529581257f7f1a7f519c6f94645b9716d86d8306e
A2,models\A2_seed_404.pt,285373,053065929cae7010941eadf266007f950ba85a1cc58063040029e679b2436627
A2,models\A2_seed_505.pt,285373,a54f1982a363eb3c2473734c3233cb3fcc2a9d7280dbe24fa0ab62ac48dd5d4b
A2,models\A2_seed_606.pt,285373,135d4b97c2eed8654f51b05574425c93cc92fa84d96b5ec7e5230ed974033dc8
A2,models\A2_seed_707.pt,285373,6b74cc31da037339cdc7aeaa3a948adbd9aa93d47dbd7ea82c4e46bec8c582cd
A2,models\A2_seed_808.pt,285373,c981611baa9f920ac4d439f608a01683d020fb6e0a33261b67e0084bbaaae1a2
A2,models\A2_seed_909.pt,285373,ca85a989b7d48b3a7d44c8b4eaa51fea5538f41dd4f571503f5684feedbe721b
A3,models\A3_seed_1001.pt,285407,2438797103d6fb79119195435760a80c20a79804852265e3cd29575b330df99e
A3,models\A3_seed_101.pt,285373,e49cfe362804ce392d10e63602dfe58a6d791c7eeef97c3c6494bc706e176b80
A3,models\A3_seed_202.pt,285373,c3bf0efebcfbb1a73ee3f6ee894083b46af17afad4df205aa1d69b16db416b64
A3,models\A3_seed_303.pt,285373,4c55bbca55ee838763be532aa68ba35b36278ceda099613f3b3c45ecfd13c241
A3,models\A3_seed_404.pt,285373,ed342f57637cf338634ad652ff9544d419eeddc2dd5b7495a7146410128f9e4f
A3,models\A3_seed_505.pt,285373,09e0da8035af2f61fec696b48b412eb0c543d922399d47aba359ada41eb198c4
A3,models\A3_seed_606.pt,285373,12dc09bab336a1fb481d4f0d5e648d25f66577ca2c9ca05de6929866a9bbad97
A3,models\A3_seed_707.pt,285373,651628b719fa7c98c14fe53a85f76014fda7ad1729fef4b2d8c7f7f1075c8438
A3,models\A3_seed_808.pt,285373,d0d68cd509d9446b86ca5d49fc2d15755cdb72fbffcda7e2f209d25ac57569c4
A3,models\A3_seed_909.pt,285373,a739283a6a1416614689b4f455632848f9d6b25fd4c9a2858b7483044d8fd2db
A4,models\A4_seed_1001.pt,285407,a28b6df13a27cecc4157363425e03accde74cb0019e47fea3c0bb843b628d7ff
A4,models\A4_seed_101.pt,285373,217d6a6ca39530764833d5d40608228fd11a4af75277ae0142dff0ad86f95f15
A4,models\A4_seed_202.pt,285373,2ae5768c37c7463916c1cc97a2d1037474899a8c2e72a4c8195a85d4f342e02b
A4,models\A4_seed_303.pt,285373,c6cf88c14541e3d0a24e77a48b8728d8e3d09164e46c92634acf0907ee355e18
A4,models\A4_seed_404.pt,285373,309c9b32d0057ce7eb014ce90b76f26cb385fa70ae69a63517c30c2aa18f116a
A4,models\A4_seed_505.pt,285373,99fc8faab831ab3bead2bf13a1a6d2a39771e96bd346f01945a01143942941b8
A4,models\A4_seed_606.pt,285373,63606981f72b51bd911829f73c9bc4fa7e7053d40d327c5e10d587f5c9dfba0c
A4,models\A4_seed_707.pt,285373,131fc9333d837c72fd25e7d524e5544a9b9f6ff696084e0bc3f16ae44e816ab2
A4,models\A4_seed_808.pt,285373,f9b946ba619487cfbc929dfe1fe224d245eeb6b4b33e2c89724d417fb82c363c
A4,models\A4_seed_909.pt,285373,0b8d4ff109069e3f33fcace65255476ba2bd97e3a45c72a67901511fdc9c97a8
A5,models\A5_seed_1001.pt,285407,bd7f1e5427277809760ed1cdf634eaf3f6297d3e649f968daf86a4034e14fce3
A5,models\A5_seed_101.pt,285373,739e921998fdf1e9c4c6655e3ba911b6a9fae5017c524d743e47096d5457db36
A5,models\A5_seed_202.pt,285373,3fe7588d4483a26478e6cf871847af01bafa1013c3f03d16c925f179a973dfe6
A5,models\A5_seed_303.pt,285373,33a002a397872b8ba2bf313820c7ce1c799e9e19d9605ab5400c02bf80987409
A5,models\A5_seed_404.pt,285373,aa0be47ab21715c5ed918309b6a4e190d32c80545c0ccf1bdf63d7652d998371
A5,models\A5_seed_505.pt,285373,b3ffc719dce0d49162f2ec0a463448ff81c767437435eb61e0bb3b8984f9a4dd
A5,models\A5_seed_606.pt,285373,1019c1ccdbf29b88fcc1322f47ac3a4b7465016eab64f7ab158d212e7b2b32a9
A5,models\A5_seed_707.pt,285373,59df40d188bc92002fbf56ea841a82c69059c8a9eeb5a08099e1c32258566c8c
A5,models\A5_seed_808.pt,285373,fae3aef1646c0dd822e7b60a84720739d6e11b900724fe84b68022d91bb430b7
A5,models\A5_seed_909.pt,285373,fc950331939432a066146c65d4bd969516af13180c0cd25a8372537439d23853
